rank,infinitive_hebrew,transcription_ru,binyan,difficulty,audio_url,audio_file,audio_provider,audio_model,audio_voice,audio_prompt,generation_status,file_size,error
1,לעשות,лаас о т,"делать, создавать, совершать",pealim_live_title_verified,/audio/verbs/001.wav,public/audio/verbs/001.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לעשות",skipped_exists,90284,
2,לדבר,ледаб е р,говорить,pealim_live_title_verified,/audio/verbs/002.wav,public/audio/verbs/002.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לדבר",skipped_exists,80684,
3,לכתוב,лихт о в,писать,pealim_live_title_verified,/audio/verbs/003.wav,public/audio/verbs/003.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לכתוב",skipped_exists,82604,
4,ללכת,лал е хет,идти,pealim_live_title_verified,/audio/verbs/004.wav,public/audio/verbs/004.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: ללכת",skipped_exists,92204,
5,לבוא,лав о,приходить,pealim_live_title_verified,/audio/verbs/005.wav,public/audio/verbs/005.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לבוא",skipped_exists,80684,
6,לראות,лиръ о т,видеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/006.wav,public/audio/verbs/006.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לראות",skipped_exists,84524,
7,לשמוע,лишм о а,слышать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/007.wav,public/audio/verbs/007.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לשמוע",skipped_exists,78764,
8,לדעת,лад а ат,знать,pealim_live_title_verified,/audio/verbs/008.wav,public/audio/verbs/008.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לדעת",skipped_exists,88364,
9,לרצות,лирц о т,хотеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/009.wav,public/audio/verbs/009.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לרצות",skipped_exists,94124,
10,לתת,лат е т,давать; позволять,pealim_live_title_verified,/audio/verbs/010.wav,public/audio/verbs/010.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לתת",skipped_exists,69164,
11,לקחת,лак а хат,"брать, взять",pealim_live_title_verified,/audio/verbs/011.wav,public/audio/verbs/011.wav,google_ai_studio_gemini_tts,gemini-3.1-flash-tts-preview,Aoede,"Read aloud exactly this Hebrew infinitive once, in modern Israeli Hebrew, at a clear slow teaching pace. Do not add translation, explanation, or any other words: לקחת",skipped_exists,82604,
