rank,infinitive_hebrew,transcription_ru,binyan,difficulty,audio_url,audio_file,audio_provider,audio_voice,audio_rate,audio_volume,audio_text,generation_status,file_size,error
1,לעשות,лаас о т,"делать, создавать, совершать",pealim_live_title_verified,/audio/verbs/001.mp3,public/audio/verbs/001.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לעשות,generated,11664,
2,לדבר,ледаб е р,говорить,pealim_live_title_verified,/audio/verbs/002.mp3,public/audio/verbs/002.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לדבר,generated,11232,
3,לכתוב,лихт о в,писать,pealim_live_title_verified,/audio/verbs/003.mp3,public/audio/verbs/003.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לכתוב,generated,11376,
4,ללכת,лал е хет,идти,pealim_live_title_verified,/audio/verbs/004.mp3,public/audio/verbs/004.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,ללכת,generated,12096,
5,לבוא,лав о,приходить,pealim_live_title_verified,/audio/verbs/005.mp3,public/audio/verbs/005.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לבוא,generated,10512,
6,לראות,лиръ о т,видеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/006.mp3,public/audio/verbs/006.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לראות,generated,11664,
7,לשמוע,лишм о а,слышать,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/007.mp3,public/audio/verbs/007.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לשמוע,generated,11232,
8,לדעת,лад а ат,знать,pealim_live_title_verified,/audio/verbs/008.mp3,public/audio/verbs/008.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לדעת,generated,11520,
9,לרצות,лирц о т,хотеть,added_ru_dictionary_value_needs_final_pealim_title_check,/audio/verbs/009.mp3,public/audio/verbs/009.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לרצות,generated,12240,
10,לתת,лат е т,давать; позволять,pealim_live_title_verified,/audio/verbs/010.mp3,public/audio/verbs/010.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לתת,generated,11232,
11,לקחת,лак а хат,"брать, взять",pealim_live_title_verified,/audio/verbs/011.mp3,public/audio/verbs/011.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לקחת,generated,11664,
12,לאכול,леэх о ль,есть,pealim_live_title_verified,/audio/verbs/012.mp3,public/audio/verbs/012.mp3,microsoft_edge_tts,he-IL-HilaNeural,-10%,+0%,לאכול,generated,11232,
